Type,Description
Graphic,"Adobe Creative Cloud graphics software (Illustrator, InDesign, and Photoshop)
Print, Graphic, and Logo Design, Branding, and Illustration
Prototyping and Interaction Design (Sketch, InVision, Adobe XD)"
Front-End Development,"HTML
CSS: Hand-coded, OOCSS, BEM, Responsive Web Design, Sass, LESS
JavaScript: Plain vanilla (ES5/ES6), jQuery, TypeScript, Node.js/NPM, Gulp/Grunt (task runners)
Progressive Enhancement and Accessibility (WCAG, WAI-ARIA)
UI and UX"
Back End Development,"PHP: WordPress, Laravel, CodeIgniter, CakePHP
Ruby: Jekyll, Sinatra, Rack, ERB, RJS, Haml, YAML
REST/XMLRPC, API Design and Development
MVC (Model View Controller)
SQL: MySQL, MSSQL, PostgreSQL
NoSQL: Redis, CouchDB, MongoDB
SCM: Git, Mercurial, Subversion, MKS
UNIX/Linux administration: FreeBSD, Ubuntu, Debian"
Accessibility,"WCAG 2.x A/AA Success Criterion
ARC Toolkit
aXe
WAVE
JAWS, JAWS Inspect, and ZoomText
NVDA
iOS VoiceOver
Android TalkBack"
